"1927/01/12","Estaires, France","Fokker",NULL,"Delivery flight","Fokker F-VII","G-EBPL","4938",0,2,0,2,0,"The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off."
"1927/03/20","Rabat, Morocco","Grands Express Aeriens",NULL,"Casablanca - Oran","Breguet 14","F-ALRA",NULL,0,1,0,1,0,"Unknown."
"1927/03/24","Tambo, Qld, Australia","Qantas",NULL,"Charleville - Tambo - Blackall","de Havilland DH-9C","G-AUED","86",2,1,2,1,0,"While attempting to land, the engine failed, the aircraft stalled and crashed."
"1927/04/15","King Hill, Idaho","Varney Air Lines",NULL,NULL,"SwallowSwallow",NULL,"A28",0,1,0,1,0,"Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground."
"1927/04/22","Floh, Germany","Deutsche Lufthansa",NULL,"Charleville - Tambo - Blackall","Fokker FG III","D-729","1567",1,1,1,1,0,"Crashed following engine failure."
"1927/04/22","Goshen, Indiana","US Aerial Mail Service",NULL,NULL,"Douglas M-4","626",NULL,0,1,0,1,0,NULL
"1927/05/02","Algiers, Algeria","Air Union",NULL,NULL,"SPCA Meteore 63","F-AIFN",NULL,0,3,0,1,0,"The three engine seaplane stalled and crashed into the sea shortly after taking off."
"1927/07/27","Amoneburg, Germany","Deutsche Lufthansa",NULL,"Kassel - Frankfurt","Junkers F-13","D-206","591",3,2,3,2,0,"Crashed after experiencing engine failure and attempting to make a forced landing."
"1927/08/22","Sevenoaks, England","KLM Royal Dutch Airlines",NULL,"Croydon - Schiphol","Fokker F-VIII","H-NADUH-NADU","4993",9,2,0,1,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer."
"1927/09/03","Willington, Connecticut","Colonial Air Transport",NULL,NULL,"Fokker Universal","NC52NC52","405",0,1,0,1,0,"The postal plane crashed for unknown reasons."
"1927/09/17","Hadley, New Jersey","Reynolds Airways",NULL,"Sightseeing","Fokker F-VII","NC776","4840",1,1,6,1,0,"The sightseeing plane took off and rose to 400 ft. when the engine failed.The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft."
"1927/09/17","Atlantic Ocean","Private",NULL,"Old Orchad Beach - Rome","Fokker F7","NX703","4899/0501",1,2,1,2,0,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight."
"1927/09/23","Schleiz, Germany","Deutsche Lufthansa",NULL,"Berlin - Munich","Dornier Merkur","D-585","075",4,2,4,2,0,"From an altitude of 500 ft. the plane went out of control and crasheddue to a broken wing strut."
"1927/10/06","Thies, Mauritania","Lignes Aeriennes Latecoere",NULL,"Saint Louis - Dakar","Breguet 14","F-AGBN","229",0,2,0,2,0,"The plane crashed while attempting to land at Dakar."
"1927/10/30","New Brunswick, New Jersey","Colonial Air Transport",NULL,NULL,"Fairchild FC-2",NULL,"20",3,1,3,1,0,"Went into a tailspin and crashed into a corn field about 10 km from the airport."
"1927/11/08","Strasburg, France","CIDNA",NULL,"Strasbourg - Paris","Farman F-121 Jabiru","F-AIBR","1",0,1,0,1,0,"The mail plane crashed shortly after taking off."
"1927/11/16","Over the Gulf of Finland","Aero O-Y",NULL,"Tallinn - Helsinki","Junkers F-13","K-SALD","798",4,2,4,2,0,"Crashed in the gulf of Finland and never found."
"1927/11/29","Corunna, Indiana","National Air Transport",NULL,NULL,"Douglas M-4","NC62NC1062","PO641",0,1,0,1,0,"The postal plane crashed at night in poor weather."
"1927/12/28","Almeria, Spain","Aeropostale",NULL,"Dakar - Casablanca - Alicante - Perpignan - Toulouse","Breguet 14","F-AFGS","227",0,1,0,1,0,"A fire erupted aboard the mail plane while en route and crashed."
"1927/12/31","Near Marseille,France","Latecoere Airlines",NULL,"Test flight","Latécoère 23 (flying boat)","F-AIHP","23-1",0,5,0,5,0,"Suffered structural failure at an altitude of 1,000 ft."
