"2015/01/18","Near Abu adh Dhuhur Air Base, Syria","Syrian Air Force",NULL,NULL,"Antonov An-26",NULL,NULL,3,2,3,2,0,"The army transport crashed while attempting to land in fog after hitting electric lines. The Al Nursa front, claimed that it shot down the aircraft."
"2015/02/04","Taipei, Taiwan","Transasia","235","Taipei - Kinmen","ATR 72-600","B-22816","1141",5,5,3,4,0,"After the aircraft took off, it climbed to 1,300 feet, turned left and began losing altitude and speed. It then, banked to 90 degrees, the wingtip striking a taxi on a roadway and crashed into the Keelung River, coming to rest inverted. The pilotmistakenly throttled down a still-running engine following a glitch with the other engine. Pilot error."
"2015/03/10","Villa Castelli, Argenina","Private",NULL,NULL,NULL,NULL,NULL,8,2,8,2,0,"Three French sports figures participating in a reality show were killed along with seven other people when the two helicopters filming the show collided."
"2015/03/24","Near Digne-Les-Bains, France","Germanwings","9525","Barcelona, Spain - Dusseldorf, Germany","Airbus A320-211","D-AIPX","147",1,6,1,6,0,"The jetliner crashed in a remote mountainous area of southern France. The plane was obliterated with no wreckage larger than a small car. According to a flight tracker, the plane fell from 38,000 ft. to 11,400 ft. in eight minutes. The aircraft impacted the ground at a high rate of speed.The copilot locked the captain out of the cockpit and put the plane into a controlled descent until it impacted the ground."
"2015/04/20","Punta Cana, Dominican Republic","Sky High Aviation Services",NULL,"Punta Cana - Arroyo Barril","Piper PA-32","HI-957 ",NULL,6,1,6,1,0,"The plane crashed shortly after taking off. The pilot tried to make an emergency landing onto a golf course but the plane struck a tree an burst into flames."
"2015/06/25","Ella Lake, Alaska","Promech Air",NULL,"Sightseeing","de Havilland DHC-3T Vazar TurbineOtter","N270PA","270",8,1,8,1,0,"The Twin Otter crashed while on a sightseeing tour carrying cruise ship passengers. The plane impacted a granite rock face cliff near Ella Lake, about 25 miles northeast of Ketchikan."
"2015/06/30","Medan, Indonesia","Military - Indonesian Air Force",NULL,"Medan - Tanjung Pinang, Sumatra.","Lockheed C130-B Hercules","A-1310","3616",1,1,1,1,19,"The military transport crashed shortly after taking off from Soewondo Air Base. Two minutes into the flight, the crew radioed they were having engine problems and returning to the airport. Soon after, the plane went down in a populated area, hitting two empty buildings. The plane was carrying civilian relatives of military personnel."
"2015/07/17","Near Juneau, Alaska","Wings of Alaska","202","Juneau - Hoonah","Cessna 207A","N62AK","20700780",4,1,0,1,0,"The scheduled passenger plane crashed in a wooded forest northeast of Juneau, 15 minutes into a 20 minute flight to Hoonah. The pilot was killed and the passengers sustained serious injuries."
"2015/07/31","Near Agustin Codazzi, Colombia","Military - Colombia Air Force",NULL,"Palanquero AB -Valledupar","CASA CN-235-100","FAC1261","C-118",0,1,0,1,0,"The military transport crashed while en route after the crew reported engine problems. The weather was reported to be poor at the time of the crash."
"2015/08/12","Ninia, Indonesia","Komala Air",NULL,"Wamena - Ninia","Pacific Aerospace","PK-KIG","650-0151",4,2,0,1,0,"Strong winds forced the crew to enter a holding pattern for 40 minutes. While attempting to land, the pilot touched down half-way down the runway and was unable to stop within the remaining distance. The plane overran the runway and went down an embankment before coming to rest. The copilot was killed."
