"2016/01/08","Akkajaure Lake, Norrbotten, Sweden","West Air Sweden","294","Oslo - Tromsø","Canadair CRJ-200","SE-DUX","7010",0,2,0,2,0,"While en route, the crew of the cargo plan sent a unintelligible mayday message. The plane went into a near vertical dive and disintegrated on impact with the ground."
"2016/02/02"," Near Mogadishu, Somalia","Daallo Airlines","3159","Mogadishu - Djibouti","Airbus A321-111","SX-BHS","642",7,NULL,1,NULL,0,"Shortly after leaving Mogadishu Airport a loud bang was heard in the cabin. There was a loss of pressurization and the plane made an emergency landing back at the airport. A large hole was observed in the side of the fuselage. A bomb containing TNT was detonated in the cabin. The bomber was sucked out of the plane and killed."
"2016/02/24","Dana, Nepal","Tara Air","193",NULL,"de Havilland DHC-6 Twin Otter 400","9N-AHH","926",2,3,2,3,0,"The plane crashed in the mountainous northern region of Nepal half-way through a 20 minute flight to Jomsom. The plane was relatively new. There was wind and dense fog at the time of the accident."
"2016/02/26","250 miles northwest of Kathmandu, Nepal","Kasthamandap Airlines",NULL,"Nepalganj - Jumla","PAC 750XL","9N-AJB","160",9,2,0,2,0,"The plane went into a steep descent and crashed onto a field in the mountains of the Kalikot district. The plane was reported to be trying to make an emergency landing. Both the pilot and copilot were killed and nine passengers were injured."
"2016/03/09","Coxs Bazar, Bangladesh","True Aviation Ltd.",NULL,"Coxs Bazar - Jessore","Antonov AN-26 ","S2-AGZ","13408",0,4,0,3,0,"The cargo plane, carrying shrimp, crashed less than 5 minutes after taking off from Coxs Bazar Airport. The pilot declaired an emergency and tried to return to the airport but crashed into the shallow waters of the Bay of Bengal just offshore."
"2016/03/15","Fatima Pastaza, Ecuador","Military - Ecuador Army",NULL,"Training","IAI Attava 201 ","E-206","090",1,3,1,3,0,"The crew was conducting sky diving exercises when, an hour into the flight they radioed they were returning to base due to deuterating weather conditions. Shortly thereafter the plane went out of control and crashed in a wooded area. Nineteen passengers and the 3 pilots were killed."
"2016/03/19","Rostov-on-Don, Russia","Flydubai","981","Dubai - Rostov","Boeing 737-8KN (WL)","A6-FDN","40241/3517",5,7,5,7,0,"At 2237, at Rostov-on-Don, the crew aborted a landing attempt to Runway 22 due to poor weather conditions. The plane was instructed to enter a holding pattern at 15,000 feet where it remained for a little under two hours. During a second landing attempt, at 3.4 miles from the runway and an altitude of 1,500 feet the crew executed a second go around and climbed to 3,975 feet, after which, the plane went out of control in a nose down attitude and hit the runway at high rate of speed and disintegrated."
"2016/03/29","Magdelen Islands, Quebec, Canada","Marquise Aviation Corp.",NULL,"Montreal - Iles-de-la-Magdelen","Mitsubishi MU-2B 60 Marquise","N246W","1552S-A",5,2,5,2,0,"The plane crashed while on approach to Iles-de-la-Magdelen Airport in poor weather conditions. Former Canadian cabinet minister Jean Lapierre, his wife, 2 brothers and sister were among those killed. All five were on the way to a funeral for Lapierres father. The pilot was flying the plane too fast and too high while on approach to land."
"2016/04/04","Near Pigeon Forge, Tennessee","Smoky Mountain Helicopters",NULL,"Sightseeing","Bell 206L","N16760","45081",4,1,4,1,0,"The helicopter crashed in a wooded hillside while on a sightseeing flight.."
"2016/04/13","Kiunga, Papua New Guinea","Sunbird Aviation",NULL,"Oksapmin - Kiungaraining","Britten-Norman Islander","P2-SBC","3010",1,1,1,1,0,"While on approach, the plane stalled and crased in a wooded area 1 km short of the runway. The accident took place in stormy weather.Three survived, but later died of their injuries. Possible engine failure."
"2016/04/29","Sorta, Norway","CHC Helikopter Service",NULL,"Gullfflex B - Bergen","Eurocopter EC225LP Super Puma M2+"," LN-OJF","2721",1,2,1,2,0,"The helicopter crashed on the rocky shores of Tuoy Island whle returning to Bergen from Oil platform Gullflex B. All 11 passengers and 2 pilots were killed. A video taken by an eyewitness shows the main rotor separating from the helicopter before it crashed."
"2016/05/19","175 miles off the Egyptian coast","EgyptAir","804","Paris - Cairo","Airbus A320-232","SU-GCC","2088",5,1,5,1,0,"The plane was en route from Paris to Cairo, flying at an altitude of 38,000 ft. when it made a sharp 90 degree turn to the left, followed by a 360 degree turn to the right as it lost altitude. The aircraft crashed into the Mediterranean Sea approximately 175 miles off the Egyptian coast."
"2016/07/22","Bay of Bengal, Indian Ocean","Indian Air Force",NULL,"Chennai (Tambram AFB) - Port Blair","Antonov 32","K2743","0809",2,6,2,6,0,"The aircraft was taking part in fire fighting in the region of Bayanday, when under unknown circumstances, it impact trees and crashed in a wooded area."
