"1929/01/05","Stafford Springs, Connecticut","Colonial Air Transport",NULL,NULL,"Fairchild FC-2","NC5650","111",0,1,0,1,0,"Struck a mountain in poor weather"
"1929/01/18","Cove, Oregon","Varney Air Lines",NULL,"Boise, ID - Pasco, WA","Stearman C-38","NC1682","102",0,1,0,1,0,"While attempting to make an emergency landing on the Minam river the plane hit a bolder killing the pilot"
"1929/01/25","Near Corfu, Greece","Aeroespresso",NULL,"Brindisi - Athens - Istanbul","CMASA Wal","I-AZDA","053",7,2,7,2,0,"Diverted off Kerkira in the Ionian Sea, in thunderstoms and high seas and sank."
"1929/01/31","Morgantown, West Virginia","Skyline Transportation Company",NULL,NULL,"Travel Air 4000","NC6480","800",0,1,0,1,0,"While attempting to land, the aircraft overran the runway and hit the perimeter fence."
"1929/01/31","Off Morocco","Aeropostale",NULL,"Agadir - Casablanca","Latecoere 26","F-AIMUF-AIMU","674",0,2,0,2,0,"Crashed into the sea. Reasons unknown."
"1929/03/17","Newark, New Jersey","Colonial Western Airlines",NULL,"Sightseeing","Ford 5-AT-B Tri Motor","NC7683","4-AT-41",1,2,1,1,0,"The plane was making the last of a number of sightseeing flights when one of its three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure followed by a stall during an emergency landing attempt."
"1929/03/30","Near Beaumont, California","New Standard Airlines",NULL,"Los Angeles - Phoenix - El Paso","Fokker F-VIIA","NC7888","617",3,1,3,1,0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred."
"1929/04/21","San Diego, California","Maddux Airlines / Military - U.S.Army Air Force",NULL,"San Diego - Phoenix","Ford 5-AT-B Tri-Motor / B-PW-9D","NC9636 / 28-037","4-AT-010",3,3,3,3,0,"A midair collision occurredwith a US Air Force Boeing PW-9D at 2,000 ft.Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.He was found criminally negligent."
"1929/05/09","Tampico, Mexico","Mexicana",NULL,"Tampico - Brownsville, TX","Ford Tri-motor 4","M-SCAL",NULL,4,1,4,1,0,"An engine failed, the plane stalled and crashed."
"1929/05/18","Hungary","MALERT",NULL,NULL,"Fokker F-III","H-MABC","1604",0,2,0,2,0,"A wing separated in flight and the plane crashed."
"1929/05/22","Algiers","Aeropostale",NULL,"Algiers - Marseille","Cams 53","F-AISX","07",3,3,3,2,0,"The plane collided with a submerged object while taking off."
