"1931/01/08","Melle, Belgium","Sabena",NULL,"Brussels - London","Fokker F-VII","OO-AIL",NULL,0,2,0,2,0,"After deciding to return to his base because of fog, the pilot lowered his altitude and struck the ground."
"1931/01/22"," Bluff Mountain, Washington","Varney Air Lines",NULL,"Portland - Pasco","Boeing 40","NC741K","1422",0,1,0,1,0,"The mail plane flew into Bluff Mountain in dense fog."
"1931/02/08","Wairoa, New Zealand","Dominion Air Lines",NULL,"Gisborne - Hastings","Desoutter II","ZK-ACA","D-36",2,1,2,1,0,"While droping a mail bag the plane stalled and crashed."
"1931/02/20","Bagot, Manitoba, Canada","Western Canada Airways",NULL,"Winnigeg - Moosejaw","Fokker Universal F-14",NULL,NULL,2,1,2,0,0,"The plane carrying mail, crashed into a field, turned over and burst into flames. There was heavy fog in the area of the accident."
"1931/02/24","Off Spain","Aeropostale",NULL,"Algiers – Marseille","Latecoere 32","F-AITX","84",0,3,0,1,0,"Crashed due to fuel exhaustion after encountering strong headwinds and getting lost."
"1931/03/21","New South Wales, Australia","Australian National Airways",NULL,"Sydney - Melbourne","Avro 10","VH-UMF","241",6,2,6,2,0,"Crashed in the Snowy Mountains in poor weather conditions. Wreckage found 10/26/1958."
"1931/03/31","Bazaar, Kansas","Trans Continental and Western Air","599","Kansas City - Wichita -Los Angeles","Fokker F10A Trimotor","NC-999","1063",6,2,6,2,0,"Shortly after taking off from Kansas City, one of the aircrafts wings separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wings interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed."
"1931/04/14","Near Letschen, Germany","Deutsche Lufthansa",NULL,NULL,"Messerschmitt M-20","D-1928","442",7,3,0,2,0,"Fuselage failure. Four were seriously injured and both the pilot and radio operator were killed."
"1931/05/05","Burbank, California","Pacific Air Transport",NULL,"San Diego - Los Angeles","Boeing 40","NC5390","1044",0,2,0,2,0,"The mail plane crashed into Las Tunas Canyon while attempting to land atBurbank Airport in dense fog."
"1931/05/22","Wampit, Australia","Guiena Airways",NULL,"Lae - Bulolo","Junkers W-34","VH-UNR","2611",0,1,0,1,0,"Hit trees in fog and cashed into the jungle."
"1931/05/24","Bellefonte, Pennsylvania","National Air Transport",NULL,NULL,"Boeing 95","NC397E","1057",0,1,0,1,0,"Crashed into a mountain and burned in poor visibility and icing conditions."
"1931/06/07","Near Sandoway, Burma","Air Orient",NULL,"Saigon - Karachi","Fokker F-VIIB","PH-AEO","5096",0,4,0,4,0,"Crashed into a trees and fell into a river 50 km south of Sandoway after experiencing engine trouble while attempting to land at Sandoway in poor visibility and monsoon conditions."
"1931/06/11","Walbridge, Ohio","Rubner Flying Service",NULL,NULL,"Lockheed Vega 2","NC857E","064",1,2,0,2,0,"A wing buckled as the plane was attempting to land and the plane crashed."
"1931/06/13","Saarbrucken, Germany","Deutsche Lufthansa",NULL,"Cologne - Saarbrucken","Dornier Merkur","D-1455","177",2,2,2,2,0,"After circling in fog for half an hour, the plane rose to about 300 ft. and nose dived into the ground and burst into flames. Engine failure."
"1931/07/12","Chicago, Illinois","Braniff Airlines",NULL,"Chicago - Detroit","Lockheed Vega","NC8497","154",0,2,0,2,0,"Engine quit while taking off. The plane crashed from a height of 700 feet. The pilot tried to return to the airportby banking to the right but did not have sufficient altitude to recover."
"1931/07/14","Temora, Australia","Australian Aerial Services",NULL,NULL,"Lasco Lascowl","VH-UGF","3",0,2,0,2,0,NULL
"1931/07/21","Centralia, Illinois","American Airways",NULL,NULL,"Pitcairn PA-6 Mailwing",NULL,NULL,0,1,0,1,0,NULL
"1931/07/24","Kurudjevo, Bulgaria","CIDNA",NULL,"Constantinople - Budapest","Fokker F-VII","F-ALGT","18",5,2,5,2,0,"The aircraft caught fire in mid air and crashed."
"1931/08/09","Cincinnati, Ohio","American Airways",NULL,"Cincinnati - Atlanta","Ford 5-AT-C Tri Motor","NC9662","5AT-029",4,2,4,2,0,"Crashed from a height of 500 feet on the banks of Little Miami River shortly after taking off.Engine failure due to a broken hub on the right engine which led to the detachment of the motor from the aircraft."
"1931/09/14","Chicago, Illinois","Chicago-Detroit Airways",NULL,NULL,"Lockheed Vega","NC606","056",0,1,0,1,0,"Crashed in a severe rainstorm while attempting to land."
"1931/09/15","Near Craiova, Oltenia, Romania","CIDNA",NULL,"Paris - Bucharest","Fokker F-VIIb-3m","F-AIGT",NULL,4,2,4,2,0,"Crashed in low overcast and darkness while en route."
"1931/09/16","Oakland, California","Pacific Air Transport",NULL,"Oakland, CA - Seattle, WA","Boeing 40","NC10347","1428",3,1,3,1,0,"Crashed into San Francisco Bay shortly after taking off from Oakland airport."
"1931/10/06","Novia Scotia, Canada","Deutsche Lufthansa",NULL,"Sydney - New York","Heinkel HE-2","D-1717","334",0,3,0,3,0,"Crashed into the sea while en route."
"1931/10/14","Brazil","Syndicato Condor",NULL,NULL,"Dornier Wal","P-BALSA","107",0,3,0,3,0,NULL
"1931/11/05","Camden, New Jersey","NY, Phil., Washington AW",NULL,"Newark, NJ- Camden, NJ - Washington DC","Lockheed Orion 9","NC12221","178",4,1,4,1,0,"Crashedonto a golf course and burst into flames after circling the airport twice to land."
"1931/11/13","Sir Lowrys pass, South Africa","Union Airways",NULL,"Durban - Cape Town","De Havilland DH.80","ZS-ACD","2110",2,1,2,1,0,"Flew into a thunderstorm over mountains, lost a wing and crashed."
"1931/11/23","Salt Lake City, Utah","Boeing Air Transport",NULL,NULL,"Boeing 40","NC7465","897",0,1,0,1,0,"The mail plane crashed 8 miles west of Salt Lake airport. It is believed the plane overturned while attempting to land in the dark and in a snowstorm."
"1931/11/24","Near Tsinan, China","China National Aviation Corporation",NULL,"Nanking - Peiking","Stinson",NULL,NULL,1,2,1,2,0,"Crashed into Chingshan mountain range 10 miles south of Tsinan in fog."
"1931/11/26","Pasco, Washington","Varney Air Lines",NULL,"Portland,WA - Pasco, WA","Boeing 40","NC10338","1419",0,1,0,1,0,"Crashed in fog while attempting to land."
"1931/12/05","Kewanee, Illinois","Braniff Airways",NULL,"Kansas City - Chicago","Lockheed Vega 5","NC433E","049",5,1,2,0,0,"Crashed attempting to land at an alternate airfield in a sleet storm. The plane struck the roof of a barn adjacent to the airfield and was destroyed. Icing."
"1931/12/06","Bangkok, Thailand","KLM Royal Dutch Airlines",NULL,"Djakarta - Amsterdam -Bangkok - Rangoon (Burma)","Fokker F-VIIb-3M","PH-AFO","5226",3,4,2,3,0,"Take offwas made with theemergency hatch in cockpit roof open. This spoiled the lift and aircraft didnt become airborne.At the end of the field, the aircraft crashed into a dam."
"1931/12/09","Off Algiers","Aeropostale",NULL,"Marseille - Algiers","CAMS 56","F-AIOX","3",0,2,0,2,0,"The crew crashed into the sea after a hydraulic failure and fire."
"1931/12/31","Springfield, Ohio","American Airways",NULL,"Port Colombus, OH - Louisville, KY","Fairchild Pilgrim 100A",NULL,NULL,4,1,4,0,0,"Under orders from his supervisor, the pilot took off in extremely poor weather conditions. After encountering fog he attempted to turn back to the airport but a wing tip struck a knoll and the plane crashed."
