"1925/03/22","Near Tiflis, Georgia, USSR","Zakavia",NULL,"Tiflis - Suchumi","Junkers F-13","R-RECA","590",3,2,3,2,0,"Shortly after take off the plane went out of control and crashed in flames."
"1925/04/25","Alicante, Spain","Grands Express Aeriens",NULL,"Alicante - Barcelona - Toulouse","Breguet 14","F-AFBB","202",1,2,1,2,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
"1925/06/25","Landrécies, France","KLM Royal Dutch Airlines",NULL,"Amsterdam - Paris","Fokker (KLM)F.III","H-NABM","1502",3,1,3,1,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
"1925/06/26","Alicante, Spain","Grands Express Aeriens",NULL,"Oran - Alicante","Lioré-et-Olivier LeO H-13","F-FREM",NULL,0,2,0,2,0,"While attempting to land the seaplane hit a lightning mast and crashed."
"1925/07/20","Rosas, Spain","Lignes Aeriennes Latecoere",NULL,"Toulouse - Barcelona","Breguet 14","F-AFBI","209",0,1,0,1,0,"Crashed in unknown circumstance."
"1925/07/24","Budapest, Hungary","CIDNA",NULL,NULL,"Potez IX",NULL,NULL,0,1,0,1,0,"Crashed while attempting to land 10 km from the airport"
"1925/09/03","Caldwell, Ohio","Military - U.S. Navy",NULL,"Lakehurst, NJ - S.t Louis, MO","Dirigible ZR-1 Shenandoah (airship)","ZR-1",NULL,NULL,NULL,NULL,NULL,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoahs external control car and two engine cars fell free, carrying the dirigibles commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
"1925/10/01","Nittany Mt, Ohio","US Aerial Mail Service",NULL,NULL,"De Havilland DH-4","385",NULL,0,1,0,1,0,NULL
"1925/11/14","Nouadhibou, Mauritania","Lignes Aeriennes Latecoere",NULL,NULL,"Breguet 14","F-AEGZ","168",0,1,0,1,0,"The pilot suffered sunstroke lost control of the plane and crashed."
"1925/11/14","Off Boulogne-sur-Mer, France","Air Union",NULL,NULL,"Farman F-60 Goliath","F-AMFY",NULL,NULL,NULL,NULL,NULL,0,NULL
