"2017/01/16","Bishkek, Kyrgyzstan","My Cargo Airlines (ACT Airlines)",NULL,"Hong Kong - Bishkiek - Istanbul","Boeing 747-412F","TC-MCL","32897/1322",0,4,0,4,35,"While approaching Bishkiek for a fuel stop, the cargo plane crashed past the end of the runway destroying 23 houses. The weather at the time of the accident was freezing fog."
"2017/02/21","Melbourne, Victoria, Australia","Australian Corporate Jet Centres PTY. LTD",NULL,"Melbournen - King Island","Beechcraft B200 Super King Air","VH-ZCR ","BB1544",4,1,4,1,0,"The charter flight was just seconds into its flight when it was observed flying low, before it nose diving into a building at a shopping center and bursting into flames. The pilot made two mayday calls before the aircraft crashed. It is reported the plane suffered engine failure."
"2017/03/10","Istanbul, Turkey","Swan Aviation",NULL,"Istanbul - Bozuyuk","Sikorsky S-76C","TC-HEZ","760717",5,2,5,2,0,"The helicopter crashed on a highway after hitting a TV tower, six minutes after taking off. The helicopter was carrying an executive of the Eczacibasi group of companies, four of his Russian guests and two pilots."
"2017/03/27","Mautaer, Zimbabwe","ETA Air Charter",NULL,"Beira, Mozambique - Harare, Zimbabwe","Britten-Norman BN2 Islander","C9-AOV","024",4,2,4,2,0,"While en route the air transport plane collided with Mount Vumba in poor weather conditions."
